R_ID	FORWARD	REVERSE	REACTION
rxn_02066	6.79	55.77	-48.98
rxn_02067	6.93	34.09	-27.16
rxn_02068	8.7	35.15	-26.45
rxn_02069	13.35	38.42	-25.07
rxn_02070	33.3	41.8	-8.51
rxn_02071	34.78	40.16	-5.38
rxn_02072	26.38	51.44	-25.06
rxn_02073	10.06	45.53	-35.47
rxn_02074	27.86	26.23	1.63
rxn_02075	9.79	41.83	-32.04
rxn_02076	20.35	37.37	-17.02
rxn_02077	6.99	46.28	-39.3
rxn_02078	19.13	38.27	-19.14
rxn_02079	1.94	42.25	-40.31
rxn_02080	28.38	41.25	-12.87
rxn_02081	11.14	43.06	-31.92
rxn_02082	10.61	37.95	-27.34
rxn_02083	17.65	44.98	-27.33
rxn_02084	26.68	50.51	-23.83
rxn_02085	30.66	51.43	-20.78
rxn_02086	27.74	52.7	-24.96
rxn_02087	30.73	53.65	-22.91
rxn_02088	24.91	51.36	-26.45
rxn_02089	28.62	52.88	-24.26
rxn_02090	27.43	52.17	-24.74
rxn_02091	31.0	54.55	-23.55
rxn_02092	23.66	53.48	-29.82
rxn_02093	28.69	54.95	-26.26
rxn_02094	25.6	54.46	-28.86
rxn_02095	28.02	55.88	-27.86
rxn_02096	11.39	15.19	-3.8
rxn_02097	43.52	21.76	21.76
rxn_02098	33.08	45.42	-12.34
rxn_02099	44.28	54.35	-10.07
rxn_02100	36.07	19.79	16.28
rxn_02101	41.8	45.81	-4.01
rxn_02102	38.73	36.55	2.18
rxn_02103	36.24	36.68	-0.44
rxn_02104	13.1	40.49	-27.39
rxn_02105	48.25	42.24	6.01
rxn_02106	11.53	29.79	-18.26
rxn_02107	11.53	36.38	-24.85
rxn_02108	11.53	35.01	-23.48
rxn_02109	43.45	50.58	-7.13
rxn_02110	43.45	57.37	-13.92
rxn_02111	36.96	51.17	-14.22
rxn_02112	12.84	31.12	-18.28
rxn_02113	12.84	36.75	-23.91
rxn_02114	12.84	37.94	-25.1
rxn_02115	11.83	30.11	-18.28
rxn_02116	11.83	35.81	-23.98
rxn_02117	11.83	40.21	-28.38
rxn_02118	22.52	41.61	-19.09
rxn_02119	18.91	47.58	-28.67
rxn_02120	16.79	43.12	-26.33
rxn_02121	16.79	54.33	-37.54
rxn_02122	19.29	37.46	-18.17
rxn_02123	19.29	41.95	-22.66
rxn_02124	21.68	46.02	-24.34
rxn_02125	21.68	47.32	-25.64
rxn_02126	20.25	26.19	-5.95
rxn_02127	20.95	32.16	-11.21
rxn_02128	32.74	41.45	-8.71
rxn_02129	34.42	40.15	-5.73
rxn_02130	35.4	43.32	-7.92
rxn_02131	32.39	43.38	-10.99
rxn_02132	32.92	41.1	-8.18
rxn_02133	33.84	44.83	-10.99
rxn_02134	32.08	49.61	-17.53
rxn_02135	28.35	44.42	-16.07
rxn_02136	29.79	45.83	-16.04
rxn_02137	25.98	41.35	-15.37
rxn_02138	31.94	28.09	3.85
rxn_02139	34.37	50.96	-16.59
rxn_02140	54.84	144.39	-89.55
